ALL OF THE COURSES IN THE SYSTEM AND THEIR EXAM TIME
CourseCode_01,70
CourseCode_02,120
CourseCode_03,60
CourseCode_04,100
CourseCode_05,85
CourseCode_06,75
CourseCode_07,85
CourseCode_08,70
CourseCode_09,70
CourseCode_10,80
CourseCode_11,85
CourseCode_12,75
CourseCode_13,90
CourseCode_14,85
CourseCode_15,90
CourseCode_16,75
CourseCode_17,80
CourseCode_18,70
CourseCode_19,75
CourseCode_20,85
CourseCode_21,90
CourseCode_22,75
CourseCode_23,110
CourseCode_24,110
CourseCode_25,70
CourseCode_26,60
CourseCode_27,100
CourseCode_28,120
CourseCode_29,60
CourseCode_30,75
CourseCode_31,70
CourseCode_32,110
CourseCode_33,70
CourseCode_34,90
CourseCode_35,60
CourseCode_36,75
CourseCode_37,70
CourseCode_38,60
CourseCode_39,70
CourseCode_40,120
CourseCode_41,120
CourseCode_42,85
CourseCode_43,75
CourseCode_44,120
CourseCode_45,120
CourseCode_46,85
CourseCode_47,120
CourseCode_48,70
CourseCode_49,100
CourseCode_50,120
CourseCode_51,60
CourseCode_52,70
CourseCode_53,90
CourseCode_54,120
CourseCode_55,75
CourseCode_56,80
CourseCode_57,120
CourseCode_58,100
CourseCode_59,70
CourseCode_60,85
CourseCode_61,60
CourseCode_62,120
CourseCode_63,80
CourseCode_64,100
CourseCode_65,60
CourseCode_66,120
CourseCode_67,100
CourseCode_68,100
CourseCode_69,100
CourseCode_70,90
CourseCode_71,80
CourseCode_72,70
CourseCode_73,90
CourseCode_74,75
CourseCode_75,60
CourseCode_76,120
CourseCode_77,70
CourseCode_78,85
CourseCode_79,90
CourseCode_80,75
CourseCode_81,85
CourseCode_82,90
CourseCode_83,60
CourseCode_84,60
CourseCode_85,85
CourseCode_86,85
CourseCode_87,85
CourseCode_88,60
CourseCode_89,80
CourseCode_90,60
CourseCode_91,70
CourseCode_92,80
CourseCode_93,90
CourseCode_94,75
CourseCode_95,80
CourseCode_96,120
CourseCode_97,75
CourseCode_98,110
CourseCode_99,60
CourseCode_100,80
CourseCode_101,80
CourseCode_102,100
CourseCode_103,70
CourseCode_104,90
CourseCode_105,70
CourseCode_106,60
CourseCode_107,100
CourseCode_108,70
CourseCode_109,100
CourseCode_110,80
CourseCode_111,85
CourseCode_112,70
CourseCode_113,100
CourseCode_114,90
CourseCode_115,80
CourseCode_116,80
CourseCode_117,75
CourseCode_118,80
CourseCode_119,85
CourseCode_120,90
CourseCode_121,90
CourseCode_122,120
CourseCode_123,90
CourseCode_124,90
CourseCode_125,120
CourseCode_126,70
CourseCode_127,90
CourseCode_128,90
CourseCode_129,80
CourseCode_130,80
CourseCode_131,75
CourseCode_132,80
CourseCode_133,100
CourseCode_134,120
CourseCode_135,90
CourseCode_136,120
CourseCode_137,85
CourseCode_138,85
CourseCode_139,110
CourseCode_140,70
CourseCode_141,75
CourseCode_142,70
